op,init,input,pytorch_gflops,autotuner_gflops,speedup
'conv2d',"(16, 16, (1, 1), (1, 1), (0, 0), (1, 1), 1, False, 'zeros')","(1, 16, 112, 112)",39.9280,43.7916,1.0968
'conv2d',"(16, 16, (3, 3), (2, 2), (1, 1), (1, 1), 16, False, 'zeros')","(1, 16, 112, 112)",3.8698,11.6798,3.0182
'conv2d',"(16, 16, (1, 1), (1, 1), (0, 0), (1, 1), 1, False, 'zeros')","(1, 16, 56, 56)",22.2531,43.3627,1.9486
'conv2d',"(72, 72, (3, 3), (2, 2), (1, 1), (1, 1), 72, False, 'zeros')","(1, 72, 56, 56)",4.2437,11.1869,2.6361
'conv2d',"(88, 88, (3, 3), (1, 1), (1, 1), (1, 1), 88, False, 'zeros')","(1, 88, 28, 28)",6.9177,12.5474,1.8138
'conv2d',"(96, 96, (5, 5), (2, 2), (2, 2), (1, 1), 96, False, 'zeros')","(1, 96, 28, 28)",6.0956,6.6509,1.0911
'conv2d',"(240, 240, (5, 5), (1, 1), (2, 2), (1, 1), 240, False, 'zeros')","(1, 240, 14, 14)",12.7919,6.6807,0.5223
'conv2d',"(120, 120, (5, 5), (1, 1), (2, 2), (1, 1), 120, False, 'zeros')","(1, 120, 14, 14)",8.2237,6.7902,0.8257
'conv2d',"(144, 144, (5, 5), (1, 1), (2, 2), (1, 1), 144, False, 'zeros')","(1, 144, 14, 14)",9.4069,6.6837,0.7105
'conv2d',"(288, 288, (5, 5), (2, 2), (2, 2), (1, 1), 288, False, 'zeros')","(1, 288, 14, 14)",4.7631,5.3596,1.1252
'conv2d',"(576, 576, (5, 5), (1, 1), (2, 2), (1, 1), 576, False, 'zeros')","(1, 576, 7, 7)",8.7595,4.6252,0.5280
